Excellent (5),"Понял, как работать с фрагментами и зачем они нужны, спасибо большое - форма подачи, слайды, компетентность - выше всяких похвал!.."
Excellent (5),"Павел как обычно - доступно и живо объяснил тему. С многими пунктами согласен, так как тоже к ним приходил через боль - хорошо, что у слушателей будет возможность пойти сразу по правильному пути"
Excellent (5),"Узнал новые хаки для улучшения производительности React, хочется поскорее применить теперь"
Excellent (5),"Давно смотрю в сторону GraphQL, часть вопросов ушла. Буду пробовать на проде =)"
Excellent (5),"Понравился спикер, подача и сам доклад (наполнение), добавить нечего)"
Excellent (5),"Понравился доклад Павла, поскольку мне была интересна эта тема. Судя по рассказанной информации, практическое применение данной темы возможно"
Excellent (5),"Павел Черторогов, этим все сказано! Как всегда 10 из 10!"
Excellent (5),Почти ничего не знал о GraphQL. Сейчас пробелы заполнились.
Excellent (5),Сам активно внедряю graphql. Черторогов хороший спикер и специалист
Excellent (5),"хорошо подано, материал целостный и структурированный, легко воспринимается, приятный докладчик"
Excellent (5),"Крутой доклад с глубоким обьяснением почему и как+ история эволюции GraphQL, то что нужно"
Excellent (5),Great talk in a very easy going manner but full of details. I like the shown story of moving from simple solutions to more complicated with clear reasoning. I would add some more practical recommendations on the final approach and more concrete comparison of benefits over drawbacks as well as use cases when the way of having multiple duplicates really worth the cost of having duplicates :) From the talk it somehow feels more like being not an optimal solution - rather something in the middle with a need of a better one. Would like to have this clarified also within the talk.
Excellent (5),"Просто и понятно были описаны фрагменты на клиенте, зачем их придумали, какие плюшки они дают, как их использовать. Планирую использовать на различных проектах"
Excellent (5),Мое мнение о технологии и области применения изменилось после доклада
Excellent (5),Интересная тема
Excellent (5),"Подача, глубина"
Excellent (5),глубокие знания у спикера доступный язык честный опыт работы
Excellent (5),Понравился вдумчивый подход к докладу и советы которые можно применить и вне технологии
Excellent (5),"Была на 3-х докладах Паши Черторогова по GraphQL (предыдущие holyJs), все рассказывает доступно, интересно и хочется пробовать на практике."
Excellent (5),"До этого смотрел все доклады Павла Черторогова, нравится как человек подает материал, нравится практическая применимость и относительная новизна технологии иногда немного не хватает времени для доклада, в дальнейшем не плохо было бы выделить для подобных докладов больше времени."
Excellent (5),"Хорошие советы по использованию graphql, очень практично"
Excellent (5),Павел очень доходчиво и глубоко рассказал о преимуществах и возможных проблемах использования GraphQL фрагментов и в целом всей технологии
Excellent (5),"Великолепная подача. Начиная от обозначения проблемы, заканчивая её решением."
Excellent (5),Спикер очень подробно и детально раскрыл тему
Excellent (5),Применимость на практике + понятная подача
Excellent (5),"Использую GraphQL в рабочем проекте, и доклады Павла всегда помогают делать проект лучше. Этот доклад показался очень технически навороченным, но все равно полезным для понимания того, как можно вообще использовать фрагменты и структурировать запросы."
Excellent (5),"глубина доклада, практическая применимость"
Excellent (5),Захотелось наконец пощупать GraphQL
4.25,Все хорошо.
4.25,"Доклан информативный, но не понятно в итоге, как готовить и решать проблемы c GraphQL"
4.25,"Очень практичный и полезный доклад для тех, кто в теме GraphQl. Докладчи отлично донес все свои мысли."
4.25,ПрактическиЕ рекомендации
4.25,"Павел большой молодец, но кажется в этот раз рассказывал немного сбито. Под конец разошёлся и было всё отлично, но начало/середина были средние"
4.25,Было много точек зрения и разбор
4.25,"Было интересно, но так как у нас в компании Rest и с GraphQl не работал, то объективно оценить будет довольно тяжело. Мне понравилось."
4.25,На фронте все хорошо но для бэкенда есть опасность это в выступлении не упомянулось
4.25,Ввод в технологию Очень понятное объяснение
4.25,простота восприятия +практическая применимость
4.25,"Подача была рассчитана на людей уже работающих с технологией, не могу объективно"
4.25,хорошо выявлена проблемы и возможности решения
4.25,Хотел попасть на react rendering strategies но зал был битком(
4.25,"Доклад полезный и для людей, знакомых с graphQL. Мало что понял"
4.25,"Очень хорошая и структурная подача материала. Понравилось разбиение на этапы, хорошо донесены пары проблема-решение. При этом было очень легко въехать несмотря на маленький опыт в GraphQL."
4.25,"В работе GraphQL не использую, но сильно думаю над ним, понравились ответы на вопросы и в целом структура и флоу доклада"
4.25,хороший доклад про GraphQL и типичные проблемы
4.25,Было интересно в целом и были полезные советы для использования. Но с технологией я знаком крайне поверхностно и некоторые моменты были поняты также поверхностно.
4.25,Простота и практическая применимость
4.25,"интересно, подробно"
4.25,"Хороший доклад, показывающий преимущества и недостатки технологии, задумались с коллегами о том, чтобы применять технологию"
4.25,"Готов применять услышанноее на практике, но часть информации уже знал"
3.5,"Возникло ощущение что где-то в середине Павел ""поплыл"""
3.5,Не понял полностью суть доклада
3.5,"не владею технологией, поэтому было непонятно"
3.5,"Не был в контексте, а вводной там было мало"
3.5,"в начале доклада он говорил что это продолжение с предыдущего доклада. Кажется, мне этого не хватило чтобы нормально погрузится в контекст"
3.5,"Занимался решением задач партнёров, поэтому слушал в пол-силы"
3.5,практическая применимость
3.5,"Не в теме по GraphQL, поэтому много не понимал."
2.75,"Пересказ документации, много спорных моментов."
2.75,Слишком много личностной оценки. Особенно по-поводу redux
2.75,Пересказ истории технологии