Excellent (5),"Новизна, глубина доклада"
Excellent (5),Изучаю данную тему. Получил ответы на интересующие меня вопросы
Excellent (5),"Я не работала с GraphQL и всегда пропускала эту технологию, так как ее использование не входило в то что мы делаем на работе. Поэтому мне было очень интересно узнать более подробнее о том как использовать GraphQL на фронтенде и какие есть подходы."
Excellent (5),Интересно и завлекающе
Excellent (5),"Отличная подача, спикер, баланс между глубиной материала и простотой восприятия, актуальность темы"
Excellent (5),Новизна
Excellent (5),"Новая радость для бекенд разработчика, чтобы не отвлекаться на задачи ""а добавь мне сюда ещё такое поле"". Главное сделать модели волосатами. Вынес для себя, что с багажом REST знаний надо быть поаакуратнее, при проектировании бека"
Excellent (5),Лучшие доклад конференции по-моему
Excellent (5),"Отличная манера изложения, интересная тема"
Excellent (5),"Отличный спикер, хорошо поставленная речь, презентация и форма подачи превосходные."
Excellent (5),"*подача*, глубина доклада, практическая применимость, простота восприятия, новизна"
Excellent (5),"в целом интересна данная тема, почерпнул для себя новый подход и несколько концептов"
Excellent (5),"Отличная подача доклада. Понятно рассказал что нужно и зачем. В каких случаях, что лучше применять. Появилось желание ""пощупать"" фреймворки"
Excellent (5),"Популярно, но в тоже время с интересными деталями."
Excellent (5),Отлично
Excellent (5),"Я только недавно попала на проект с graphql и мне кажется, что я как раз та самая ца, на которую и был рассчитан этот доклад. Очень много полезной инфы вытянула"
Excellent (5),"Используем Apollo в работе. Узнал много нового, потом нашёл Павла и еще узнал кучу всего :) будем пробовать"
Excellent (5),практическая применимость
Excellent (5),"Интересно , без скукоты, ну и я пользую graphql"
Excellent (5),"Хорошая подача, качественные слайды, объяснение на примерах, тема раскрыта достаточно широко."
Excellent (5),"Интересная технология, приглядываюсь к ней с целью использовать в работе"
Excellent (5),"Второй раз слушай выступление Павла, очень нравится подача материала. Давно собирался попробовать использовать GraphQL в своих проектах, надеюсь теперь точно использую"
Excellent (5),"Превосходный опытный докладчик, понимающий как заинтересовать аудиторию чем-либо"
Excellent (5),"Отличный спикер, я практически не был знаком с graphQL, но спикер сумел заинтересовать технологией и подходом с фрагментацией и ""волосатым GraphQL"""
Excellent (5),"Очень много лучших практик, внятное объяснение почему так. И обяснение всего на понятном языке."
Excellent (5),"Мне очень интересна тематика GraphQL, на докладе помимо прочего рассмотрены новые для меня аспекты и подходы, с которыми буду разбираться дальше. Хорошо проработанный доклад"
Excellent (5),Отличная и интересная подача. Материалы с доклада очень хочется получить и поиграться с GraphQL
Excellent (5),"прекрасная подача, практическая применимость, простота восприятия"
Excellent (5),"Лучший доклад конференции, очень просто и приятно воспринималось, прекрасные примеры, отличная мотивация."
Excellent (5),"Технологию не использовал поэтому интересно было послушать о том что там происходит и с чего лучше начинать, были даны хорошие сравнения клиентов и в целом довольно неплохо расказанно про GraphQL"
Excellent (5),"Интересная, понятная подача"
Excellent (5),Мне было интересно узнать о новом подходе
Excellent (5),Просто понравился
Excellent (5),"Превосходный материал, хочется применить в проекте данную технологию"
Excellent (5),"получил все ответы, которые возникли при использовании GraphQL"
Excellent (5),"Относительно новая для меня тема, узнал много новой информации; хорошее преподнесение материала и презентация"
Excellent (5),"Мне интересен был доклад о состоянии graphql на клиенте, т.к. руками потрогать нет возможности. Глубина доклада позволила впоследствии обсуждать потенциальное применение так, что более опытные товарищи принимали сказанное мной всерьез"
Excellent (5),Павел смотивировал попробовать GraphQL
Excellent (5),"Хорошо разобраны инструменты и практики Жаль, что без бэкэнд стороны вопроса, но в тайминг бы не вошло."
Excellent (5),Павел один из немногих кто действительно работает с залом
Excellent (5),"Крайне интересно, увлекательно, живо и воодушевляюще"
Excellent (5),"Это был третий доклад про GraphQL, который я видел. И меня наконец-то прошибло. Буду пробовать. Тем более, что я теперь знаю как надо его готовить."
Excellent (5),"Павел как всегда всё говорил точно и по делу. Каждый раз после его докладов хочется прийти и начать использовать graphql на своих проектах. К сожалению, я не один принимаю такие решения об используемых технологиях =("
Excellent (5),"Хорошая подача материала, хорошо видно текст на слайдах."
Excellent (5),Отличная подача. Простота восприятия
Excellent (5),"Полезность информации, качество доклада"
Excellent (5),интересно в какую сторону развивается индустрия
Excellent (5),"Не работал с GraphQL, но за время доклада захотел с ним поработать и применить на практике, Павел прекрасный докладчик, рассказывал интересно и понятно"
Excellent (5),Простым языком о нужных вещах
Excellent (5),Отличный задорный доклад
Excellent (5),Подача - классная. Все ясно. Очень постараюсь сломать в себе RESTщика - попробовать кучерявый GraphQL
Excellent (5),Интерес. Захотелось после доклада попробовать технологию в реальной работе.
Excellent (5),Очень круто! Мы после доклада долго обсуждали и таки решили пробовать GraphQL в своих проектах.
Excellent (5),"Очень интересный , хорошо поданный, с примерами из жизни (и примерами для попробовать) доклад. Я однозначно выделю этот доклад когда буду говорить о HolyJs 2019"
Excellent (5),Понравилась практическое сравнение apolloclient и relay. Было в целом все понятно
Excellent (5),"Все было последовательно и понятно, рассказали чем воспользоваться для начала освоения graphQ, а чем пользоваться для хорошей производительности"
Excellent (5),"Хороший доклад, качество материала и подача на уровне."
Excellent (5),"Нравится подача этого автора. Лучший доклад на конфе. Люблю, когда описана технология в целом плюс как и где это использовать плюс best practices."
Excellent (5),"Очень быстро, доходчиво и интересно объясняет, вообще один из лучших выступающих."
Excellent (5),Всё понравилось
Excellent (5),"Доклад очень понравился, всё в нем на высоте. Рассказано очень много за короткое время. Никогда ни работала с данными фреймворки. В следующем проекте захотелось попробовать ApolloClient."
Excellent (5),"хорошая подача, интересная тема"
Excellent (5),"Интересно, доходчиво и применимо на практике."
Excellent (5),"Вдохновляющее, бодрое выступление с нетривиальными шутками. Очень практично. Захотелось изучить и применить."
Excellent (5),"Один из лучших докладов, хорошая подача материала, отличная презентация."
Excellent (5),Очень доходчиво
Excellent (5),Мне все понравилось и планирую применить в новом личном проекте
Excellent (5),"Очень красочное и понятное описание новых для меня инструментов. Я уже задумывался об использовании GraphQL и ApolloClient, но были сомнения. Этот доклад их развеял - почему я должен использовать это, какие перспективы."
Excellent (5),"Очень интересны, содержательный доклад"
4.25,было сложновато
4.25,"Живая подача материала. Большинство информации по делу. Павел видимо любит GraphQL и старается его популяризовать. И в связи с этим, видимо акцентирует внимание только на плюсах. :)"
4.25,"Подача субъективного мнения. При рекламе технологии всегда лучше называть ее плюсы, а не пытаться возвысить путем гнобления конкурентных."
4.25,Глубина информации
4.25,Интересная для меня тема.
4.25,"Доклад интересный, если еще пару шуток рассказать во время доклада, то ваще огонь"
4.25,"Практическая применимость, постараюсь внедрить в своих проектах"
4.25,"Дал больше понимания о том, почему мне это не нужно."
4.25,Хорошая подача. Полезная тема
4.25,"Доклад понравился, хотя к моей деятельности пока не применим, новую информацию почерпнул, однозначно"
4.25,Отличная подача. Спикер смог хорошо подать информацию про GraphQL
4.25,"Ранее слышал про GraphQL, но никак не доходили руки. Доклад заинтересовал, хоть и оставил кучу вопросов, типа чья больше будет проблема миграции - бэка или фронта. И чем ему так не понравился редакс"
4.25,так и не понял почему он волосатый. Но в целом было интересно.
4.25,"Неоднократно смотрел доклады Павла, всё круто, но возникает ощущение, что мы куда-то опаздываем, хотелось бы больше размеренности в донесении материала"
4.25,"Интересный опыт, который я смогу(наверное) применить в своей работе или по крайней мере буду знать о таком варианте."
4.25,"Я правда многое уже слышал, но было интересно мне."
4.25,"Интересно и понятно, полезно лично мне"
4.25,"Интересные доводы и аргументы докладчика, рассмотренные кейсы, актуальность."
4.25,"Очень убедительно, подробно, попытаемся применить на практике."
4.25,"немного не поспевал за докладчиком, возможно, т.к. это новая для меня тема. Планирую почитать по теме и пересмотреть запись"
3.5,"Не понравилось, что докладчик говорил по-русски с ошибками"
3.5,"Ничего нового не узнал, так как использую этот стек уже два года."
3.5,"Спикер спорный — слишком фамильярный и радикальный, на мой взляд. Для человека, который не знаком с технологией, польза есть."
3.5,"Неплохая подача, хорошие идеи, но не очень много нового. Осталось ощущение, что все это я уже слышал"
3.5,тема оказалась не очень интересой
3.5,"Тема для меня далекая, сложно для восприятия."
3.5,"Все хорошо, но хотелось бы больше лайвкодинга (почти полностью из лайвкодинга)"
3.5,"Кажется, что тема достаточно узкая и практически полезная далеко не для всех, но сравнительный анализ хороший."
3.5,"min - 1, max - 10 3, 4, 5, 3, 6"
3.5,"очень сложная подача информации, иногда не успевал за мыслью спикера"
3.5,"Пойдет, но хипстерские высказывания, вроде ""к черту Redux"" и ""поливание"" бэкендеров не понравилось ))"
2.75,"Никакой конкретики, очень поверхностная попытка сравнить два инструмента... Зачем!? Все, что вынес их этого доклада, что должен быть волосатый и ходить по-маленькому."